date,dp,ep,bm,ntis,tbl,tms,dfy,svar
1957-01-01,-3.248434068075912,-2.574676748051453,0.5672426747,0.0279919939,0.0311,0.0017000000000000036,0.007200000000000005,0.0009019425
1957-02-01,-3.2172013145597846,-2.542482871383707,0.5849941888,0.0301728465,0.031,0.001800000000000003,0.007999999999999993,0.0010560402
1957-03-01,-3.2385651056071607,-2.5629110824947325,0.5998188749,0.0265995947,0.0308,0.0022999999999999965,0.0076999999999999985,0.0003302976
1957-04-01,-3.2748517800849477,-2.5972291077992447,0.5760983898,0.0274205931,0.0307,0.0038000000000000013,0.0076999999999999985,0.0003024601
1957-05-01,-3.3111335313798027,-2.6315753746189223,0.5640385796,0.0288486546,0.0306,0.004199999999999999,0.0077999999999999944,0.0004817712
1957-06-01,-3.3098677084259727,-2.6283485658611463,0.5658765324,0.0305276914,0.0329,0.0032000000000000015,0.007199999999999998,0.0005786214
1957-07-01,-3.315439137668593,-2.6348125422602626,0.5600566349,0.0323460398,0.0316,0.004899999999999995,0.007400000000000004,0.0005538677
1957-08-01,-3.2519236789144013,-2.572209171242835,0.5880045422,0.0358539895,0.0337,0.0030000000000000027,0.007199999999999998,0.0021472482
1957-09-01,-3.182306140086476,-2.5034653551777684,0.624150778,0.0343625225,0.0353,0.0011000000000000038,0.008099999999999996,0.0015171099
1957-10-01,-3.1440548650050495,-2.4805227029560193,0.6457464176,0.0384097165,0.0358,0.0011000000000000038,0.008899999999999998,0.0049360114
1957-11-01,-3.154367265828578,-2.5062350809913667,0.6330717763,0.0409898136,0.0331,0.000900000000000005,0.010099999999999998,0.0034900785
1957-12-01,-3.1064138030060633,-2.4737166784944566,0.6536757786,0.034873147,0.0304,0.0019000000000000024,0.012199999999999996,0.0012514024
1958-01-01,-3.1520355483284255,-2.538611027221801,0.6328607617,0.0298961799,0.0244,0.0086,0.012300000000000005,0.0007844653
1958-02-01,-3.1349042822367412,-2.5413060039730717,0.6473904346,0.0277510802,0.0153,0.0172,0.010700000000000001,0.0007362477
1958-03-01,-3.1690681941025978,-2.595824940768174,0.6685916376,0.0289353475,0.013,0.0191,0.010500000000000002,0.0005192057
1958-04-01,-3.20794362658848,-2.6497031140265745,0.6552450314,0.0270182768,0.0113,0.019799999999999998,0.010700000000000001,0.0007467616
1958-05-01,-3.2304531306028137,-2.6876207107017365,0.6455586773,0.0228695103,0.0091,0.0222,0.010499999999999995,0.0004331172
1958-06-01,-3.2638602427382324,-2.736979228218944,0.6246601698,0.0214366176,0.0083,0.024099999999999996,0.009799999999999996,0.0004382024
1958-07-01,-3.306060597228609,-2.7848955464520153,0.5938487843,0.0169337992,0.0091,0.025199999999999997,0.008599999999999997,0.0006956246
1958-08-01,-3.3178576584170516,-2.8024069089038965,0.5872638264,0.015090629,0.0169,0.020200000000000003,0.008199999999999999,0.0005889619
1958-09-01,-3.3651008774939406,-2.855431991855774,0.5613711966,0.0139834782,0.0244,0.013599999999999998,0.007800000000000001,0.0005101803
1958-10-01,-3.38628861580128,-2.8793399050570003,0.5498692979,0.0122789133,0.0263,0.011100000000000002,0.008100000000000003,0.000793475
1958-11-01,-3.404652275868801,-2.900318163452159,0.5358231981,0.0115349437,0.0267,0.010099999999999998,0.007800000000000001,0.0015302103
1958-12-01,-3.4515283083605306,-2.9498875941716127,0.5117793198,0.0236868316,0.0277,0.010499999999999999,0.0076999999999999985,0.0007127719
1959-01-01,-3.451503490397632,-2.9286370272343203,0.5028958179,0.0277362661,0.0282,0.012600000000000004,0.0075,0.000584868
1959-02-01,-3.447573029447517,-2.9039886833873387,0.4949461475,0.0278988473,0.027,0.0132,0.0075,0.0008447335
1959-03-01,-3.4443218082959097,-2.8806786286905046,0.5168602815,0.0249843896,0.028,0.012300000000000002,0.007199999999999998,0.0004915081
1959-04-01,-3.478591230458858,-2.8881065705527083,0.4985971944,0.0243605696,0.0295,0.0119,0.0063,0.0004925502
1959-05-01,-3.4936333727984508,-2.877176984469263,0.4830767797,0.0258872339,0.0284,0.0133,0.0058999999999999955,0.0004278009
1959-06-01,-3.4862981823349153,-2.844738370565463,0.4832193909,0.0268820744,0.0321,0.009800000000000003,0.0058,0.0009150702
1959-07-01,-3.5168569916778405,-2.8760963493388045,0.4608226648,0.0271413721,0.032,0.0097,0.006100000000000001,0.000487796
1959-08-01,-3.498037254340215,-2.85801502299679,0.4680844659,0.0281461307,0.0338,0.0085,0.006600000000000002,0.0010696993
1959-09-01,-3.4476169402172516,-2.8083835243171373,0.4923378926,0.0305283913,0.0404,0.0025000000000000022,0.006600000000000002,0.0017098448
1959-10-01,-3.455111044950229,-2.823457540446513,0.4809774204,0.0310201805,0.0405,0.0015999999999999973,0.007100000000000002,0.0006181833
1959-11-01,-3.464610935263982,-2.8405134321857988,0.4717982949,0.0297223804,0.0415,0.0017000000000000001,0.006999999999999999,0.0004996927
1959-12-01,-3.488193579423042,-2.8716796248840124,0.4577837965,0.0228563041,0.0449,-0.00020000000000000573,0.006999999999999999,0.0003075435
1960-01-01,-3.394190875143058,-2.797533119807113,0.499502104,0.0221161675,0.0435,0.0006000000000000033,0.007300000000000001,0.0009194175
1960-02-01,-3.3839030335226585,-2.806662333841901,0.4935567828,0.024037494,0.0396,0.0032999999999999974,0.007800000000000001,0.0011502458
1960-03-01,-3.3508080012835433,-2.792666052966421,0.549798083,0.02559341,0.0331,0.008,0.007599999999999996,0.0009691465
1960-04-01,-3.3314249722693083,-2.7878377454525953,0.5634036895,0.0255771333,0.0323,0.010299999999999997,0.0075,0.0006451661
1960-05-01,-3.3561757280091733,-2.8273893905167506,0.5419664269,0.0244143755,0.0329,0.008800000000000002,0.008199999999999999,0.0004235585
1960-06-01,-3.373817400645996,-2.8599195778430353,0.5291748619,0.0242699263,0.0246,0.0161,0.008100000000000003,0.0004989479
1960-07-01,-3.3487338121264147,-2.8338242313845257,0.5496732768,0.0257784868,0.023,0.015199999999999998,0.008100000000000003,0.00097782
