yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
187101,4.44,0.26,0.4,,,,,,,,,,,,,,
187102,4.5,0.26,0.4,,,,,,,0.004967,,,,,,,
187103,4.61,0.26,0.4,,,,,,,0.004525,,,,,,,
187104,4.74,0.26,0.4,,,,,,,0.004252,,,,,,,
187105,4.86,0.26,0.4,,,,,,,0.004643,,,,,,,
187106,4.82,0.26,0.4,,,,,,,0.003698,,,,,,,
187107,4.73,0.26,0.4,,,,,,,0.003373,,,,,,,
187108,4.79,0.26,0.4,,,,,,,0.003255,,,,,,,
187109,4.84,0.26,0.4,,,,,,,0.003713,,,,,,,
187110,4.59,0.26,0.4,,,,,,,0.004554,,,,,,,
187111,4.64,0.26,0.4,,,,,,,0.007041,,,,,,,
187112,4.74,0.26,0.4,,,,,,,0.006488,,,,,,,
187201,4.86,0.2633,0.4025,,,,,,,0.006975,,,,,,,
187202,4.88,0.2667,0.405,,,,,,,0.005764,,,,,,,
187203,5.04,0.27,0.4075,,,,,,,0.005218,,,,,,,
187204,5.18,0.2733,0.41,,,,,,,0.006001,,,,,,,
187205,5.18,0.2767,0.4125,,,,,,,0.00603,,,,,,,
187206,5.13,0.28,0.415,,,,,,,0.004953,,,,,,,
187207,5.1,0.2833,0.4175,,,,,,,0.004067,,,,,,,
187208,5.04,0.2867,0.42,,,,,,,0.004399,,,,,,,
187209,4.95,0.29,0.4225,,,,,,,0.005218,,,,,,,
187210,4.97,0.2933,0.425,,,,,,,0.007019,,,,,,,
187211,4.95,0.2967,0.4275,,,,,,,0.007609,,,,,,,
187212,5.07,0.3,0.43,,,,,,,0.008214,,,,,,,
187301,5.11,0.3025,0.4325,,,,,,,0.007631,,,,,,,
187302,5.15,0.305,0.435,,,,,,,0.006488,,,,,,,
187303,5.11,0.3075,0.4375,,,,,,,0.006561,,,,,,,
187304,5.04,0.31,0.44,,,,,,,0.007107,,,,,,,
187305,5.05,0.3125,0.4425,,,,,,,0.008052,,,,,,,
187306,4.98,0.315,0.445,,,,,,,0.005632,,,,,,,
187307,4.97,0.3175,0.4475,,,,,,,0.00468,,,,,,,
187308,4.97,0.32,0.45,,,,,,,0.004392,,,,,,,
187309,4.59,0.3225,0.4525,,,,,,,0.004849,,,,,,,
187310,4.19,0.325,0.455,,,,,,,0.010177,,,,,,,
187311,4.04,0.3275,0.4575,,,,,,,0.011815,,,,,,,
187312,4.42,0.33,0.46,,,,,,,0.01034,,,,,,,
187401,4.66,0.33,0.46,,,,,,,0.006871,,,,,,,
187402,4.8,0.33,0.46,,,,,,,0.00513,,,,,,,
187403,4.73,0.33,0.46,,,,,,,0.004067,,,,,,,
187404,4.6,0.33,0.46,,,,,,,0.00417,,,,,,,
187405,4.48,0.33,0.46,,,,,,,0.004252,,,,,,,
187406,4.46,0.33,0.46,,,,,,,0.003816,,,,,,,
187407,4.46,0.33,0.46,,,,,,,0.003742,,,,,,,
187408,4.47,0.33,0.46,,,,,,,0.003779,,,,,,,
187409,4.54,0.33,0.46,,,,,,,0.003654,,,,,,,
187410,4.53,0.33,0.46,,,,,,,0.004252,,,,,,,
187411,4.57,0.33,0.46,,,,,,,0.003927,,,,,,,
187412,4.54,0.33,0.46,,,,,,,0.003787,,,,,,,
187501,4.54,0.3275,0.4517,,,,,,,0.004067,,,,,,,
187502,4.53,0.325,0.4433,,,,,,,0.003514,,,,,,,
187503,4.59,0.3225,0.435,,,,,,,0.003469,,,,,,,
187504,4.65,0.32,0.4267,,,,,,,0.003993,,,,,,,
187505,4.47,0.3175,0.4183,,,,,,,0.003654,,,,,,,
187506,4.38,0.315,0.41,,,,,,,0.003005,,,,,,,
187507,4.39,0.3125,0.4017,,,,,,,0.002997,,,,,,,
187508,4.41,0.31,0.3933,,,,,,,0.00282,,,,,,,
187509,4.37,0.3075,0.385,,,,,,,0.003285,,,,,,,
187510,4.3,0.305,0.3767,,,,,,,0.003986,,,,,,,
187511,4.37,0.3025,0.3683,,,,,,,0.004296,,,,,,,
187512,4.37,0.3,0.36,,,,,,,0.004355,,,,,,,
187601,4.46,0.3,0.3533,,,,,,,0.004517,,,,,,,
187602,4.52,0.3,0.3467,,,,,,,0.004392,,,,,,,
187603,4.51,0.3,0.34,,,,,,,0.003573,,,,,,,
187604,4.34,0.3,0.3333,,,,,,,0.003617,,,,,,,
187605,4.18,0.3,0.3267,,,,,,,0.003698,,,,,,,
187606,4.15,0.3,0.32,,,,,,,0.003366,,,,,,,
187607,4.1,0.3,0.3133,,,,,,,0.003145,,,,,,,
187608,3.93,0.3,0.3067,,,,,,,0.002451,,,,,,,
187609,3.69,0.3,0.3,,,,,,,0.002296,,,,,,,
187610,3.67,0.3,0.2933,,,,,,,0.003145,,,,,,,
187611,3.6,0.3,0.2867,,,,,,,0.003824,,,,,,,
187612,3.58,0.3,0.28,,,,,,,0.003654,,,,,,,
187701,3.55,0.2908,0.2817,,,,,,,0.003979,,,,,,,
187702,3.34,0.2817,0.2833,,,,,,,0.003735,,,,,,,
187703,3.17,0.2725,0.285,,,,,,,0.00296,,,,,,,
187704,2.94,0.2633,0.2867,,,,,,,0.002916,,,,,,,
187705,2.94,0.2542,0.2883,,,,,,,0.002872,,,,,,,
187706,2.73,0.245,0.29,,,,,,,0.002591,,,,,,,
187707,2.85,0.2358,0.2917,,,,,,,0.002636,,,,,,,
187708,3.05,0.2267,0.2933,,,,,,,0.002695,,,,,,,
187709,3.24,0.2175,0.295,,,,,,,0.003801,,,,,,,
187710,3.31,0.2083,0.2967,,,,,,,0.004348,,,,,,,
187711,3.26,0.1992,0.2983,,,,,,,0.00499,,,,,,,
187712,3.25,0.19,0.3,,,,,,,0.004207,,,,,,,
187801,3.25,0.1892,0.3008,,,,,,,0.003787,,,,,,,
187802,3.18,0.1883,0.3017,,,,,,,0.003956,,,,,,,
187803,3.24,0.1875,0.3025,,,,,,,0.003558,,,,,,,
187804,3.33,0.1867,0.3033,,,,,,,0.003418,,,,,,,
187805,3.34,0.1858,0.3042,,,,,,,0.003595,,,,,,,
187806,3.41,0.185,0.305,,,,,,,0.002982,,,,,,,
187807,3.48,0.1842,0.3058,,,,,,,0.002451,,,,,,,
187808,3.45,0.1833,0.3067,,,,,,,0.002296,,,,,,,
187809,3.52,0.1825,0.3075,,,,,,,0.002451,,,,,,,
187810,3.48,0.1817,0.3083,,,,,,,0.003049,,,,,,,
187811,3.47,0.1808,0.3092,,,,,,,0.003661,,,,,,,
187812,3.45,0.18,0.31,,,,,,,0.003418,,,,,,,
